Timestamp,Category,Open,Close,Volume,Cycle
2026-01-02T00:00:00.0000000+00:00,tech,37.50,37.80,1200000,1
2026-01-03T00:00:00.0000000+00:00,energy,38.10,37.90,980000,2
2026-01-04T00:00:00.0000000+00:00,tech,37.95,38.40,1100000,3
2026-01-07T00:00:00.0000000+00:00,retail,38.50,38.20,870000,1
2026-01-08T00:00:00.0000000+00:00,tech,38.25,38.90,1350000,2
2026-01-09T00:00:00.0000000+00:00,energy,39.00,38.70,920000,3
2026-01-10T00:00:00.0000000+00:00,tech,38.80,39.20,1010000,1
2026-01-11T00:00:00.0000000+00:00,retail,39.40,39.10,760000,2
2026-01-14T00:00:00.0000000+00:00,tech,39.15,39.60,1180000,3
2026-01-15T00:00:00.0000000+00:00,energy,39.70,39.40,890000,1
2026-01-16T00:00:00.0000000+00:00,tech,39.50,40.00,1420000,2
2026-01-17T00:00:00.0000000+00:00,retail,40.10,39.80,810000,3
2026-01-18T00:00:00.0000000+00:00,tech,39.90,40.30,1250000,1
2026-01-22T00:00:00.0000000+00:00,energy,40.40,40.10,950000,2
2026-01-23T00:00:00.0000000+00:00,tech,40.20,40.70,1300000,3
2026-01-24T00:00:00.0000000+00:00,retail,40.80,40.50,780000,1
2026-01-25T00:00:00.0000000+00:00,tech,40.60,41.00,1150000,2
2026-01-28T00:00:00.0000000+00:00,energy,41.10,40.80,900000,3
2026-01-29T00:00:00.0000000+00:00,tech,40.90,41.40,1280000,1
2026-01-30T00:00:00.0000000+00:00,retail,41.50,41.20,830000,2
2026-01-31T00:00:00.0000000+00:00,tech,41.30,41.80,1400000,3
2026-02-01T00:00:00.0000000+00:00,energy,41.90,41.60,910000,1
2026-02-04T00:00:00.0000000+00:00,tech,41.70,42.10,1220000,2
2026-02-05T00:00:00.0000000+00:00,retail,42.20,41.90,790000,3
